scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
M,breakdown,0.5,SA,5,1.000000,92.051286,12.178759,93.562573,92.051286,12.178759,0.513425
M,breakdown,1.0,B-CORE,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000325
M,breakdown,1.0,B-CORE-no-bottleneck,5,1.000000,80.926509,6.737527,77.279019,80.926509,6.737527,0.000314
M,breakdown,1.0,B-CORE-no-graph,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000351
M,breakdown,1.0,DCGA,5,1.000000,81.359717,8.130351,84.477439,81.359717,8.130351,1.015318
M,breakdown,1.0,GA,5,1.000000,84.397188,4.150398,84.844384,84.397188,4.150398,1.013504
M,breakdown,1.0,LNS,5,1.000000,87.392692,5.394191,87.252022,87.392692,5.394191,1.012300
M,breakdown,1.0,MOEA-NSGA2,5,1.000000,84.393312,8.970845,86.664626,84.393312,8.970845,1.014167
M,breakdown,1.0,MOR,5,1.000000,100.057937,4.236875,99.273012,100.057937,4.236875,0.000009
M,breakdown,1.0,MachineRank,5,1.000000,93.990849,8.767352,91.939054,93.990849,8.767352,0.000121
M,breakdown,1.0,SA,5,1.000000,91.114487,11.592239,93.057059,91.114487,11.592239,1.015521
M,breakdown,10.0,B-CORE,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000315
M,breakdown,10.0,B-CORE-no-bottleneck,5,1.000000,80.926509,6.737527,77.279019,80.926509,6.737527,0.000318
M,breakdown,10.0,B-CORE-no-graph,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000334
M,breakdown,10.0,DCGA,5,1.000000,72.621161,7.624115,72.700396,72.621161,7.624115,10.014325
M,breakdown,10.0,GA,5,1.000000,74.801615,6.407762,76.137478,74.801615,6.407762,10.011727
M,breakdown,10.0,LNS,5,1.000000,77.304275,8.111443,80.082908,77.304275,8.111443,9.383137
M,breakdown,10.0,MOEA-NSGA2,5,1.000000,73.535758,6.498329,73.096250,73.535758,6.498329,10.012056
M,breakdown,10.0,MOR,5,1.000000,100.057937,4.236875,99.273012,100.057937,4.236875,0.000010
M,breakdown,10.0,MachineRank,5,1.000000,93.990849,8.767352,91.939054,93.990849,8.767352,0.000117
M,breakdown,10.0,SA,5,1.000000,85.895229,7.806287,89.110553,85.895229,7.806287,9.370522
