scale,event_type,budget_sec,algorithm,mean_makespan,mean_p95_latency,mean_objective
M,mixed,1.0,B-CORE,76.361847,0.000332,76.361847
M,mixed,1.0,B-CORE-no-bottleneck,75.433679,0.000325,75.433679
M,mixed,1.0,B-CORE-no-graph,76.361847,0.000326,76.361847
M,mixed,1.0,DCGA,77.606726,1.013398,77.606726
M,mixed,1.0,GA,84.921445,1.011540,84.921445
M,mixed,1.0,LNS,83.405408,1.014109,83.405408
M,mixed,1.0,MOEA-NSGA2,81.352228,1.016981,81.352228
M,mixed,1.0,MOR,98.688375,0.000010,98.688375
M,mixed,1.0,MachineRank,88.486920,0.000131,88.486920
M,mixed,1.0,SA,89.632162,1.014921,89.632162
M,mixed,10.0,B-CORE,76.361847,0.000280,76.361847
M,mixed,10.0,B-CORE-no-bottleneck,75.433679,0.000261,75.433679
M,mixed,10.0,B-CORE-no-graph,76.361847,0.000276,76.361847
M,mixed,10.0,DCGA,68.736510,10.015018,68.736510
M,mixed,10.0,GA,70.631491,10.013758,70.631491
M,mixed,10.0,LNS,74.615762,9.386079,74.615762
M,mixed,10.0,MOEA-NSGA2,72.859098,10.011857,72.859098
M,mixed,10.0,MOR,98.688375,0.000009,98.688375
M,mixed,10.0,MachineRank,88.486920,0.000120,88.486920
M,mixed,10.0,SA,79.624633,9.452957,79.624633
M,mixed,5.0,B-CORE,76.361847,0.000312,76.361847
M,mixed,5.0,B-CORE-no-bottleneck,75.433679,0.000310,75.433679
M,mixed,5.0,B-CORE-no-graph,76.361847,0.000308,76.361847
M,mixed,5.0,DCGA,73.947374,5.011572,73.947374
M,mixed,5.0,GA,75.538567,5.013440,75.538567
M,mixed,5.0,LNS,75.986840,5.012547,75.986840
M,mixed,5.0,MOEA-NSGA2,76.450920,5.015794,76.450920
M,mixed,5.0,MOR,98.688375,0.000011,98.688375
M,mixed,5.0,MachineRank,88.486920,0.000120,88.486920
M,mixed,5.0,SA,85.906452,5.009101,85.906452
M,rush_job,0.1,B-CORE,76.694122,0.000277,76.694122
M,rush_job,0.1,B-CORE-no-bottleneck,76.949574,0.000269,76.949574
M,rush_job,0.1,B-CORE-no-graph,76.694122,0.000286,76.694122
M,rush_job,0.1,DCGA,93.612454,0.109825,93.612454
M,rush_job,0.1,GA,99.397980,0.111097,99.397980
M,rush_job,0.1,LNS,93.352261,0.113686,93.352261
M,rush_job,0.1,MOEA-NSGA2,88.817710,0.222086,88.817710
M,rush_job,0.1,MOR,94.050877,0.000010,94.050877
M,rush_job,0.1,MachineRank,88.418247,0.000097,88.418247
M,rush_job,0.1,SA,98.912527,0.113845,98.912527
M,rush_job,0.5,B-CORE,76.694122,0.000328,76.694122
M,rush_job,0.5,B-CORE-no-bottleneck,76.949574,0.000281,76.949574
M,rush_job,0.5,B-CORE-no-graph,76.694122,0.000330,76.694122
M,rush_job,0.5,DCGA,85.083261,0.510256,85.083261
M,rush_job,0.5,GA,87.390904,0.510412,87.390904
M,rush_job,0.5,LNS,86.188499,0.512508,86.188499
M,rush_job,0.5,MOEA-NSGA2,86.648270,0.517194,86.648270
M,rush_job,0.5,MOR,94.050877,0.000010,94.050877
M,rush_job,0.5,MachineRank,88.418247,0.000094,88.418247
M,rush_job,0.5,SA,94.792100,0.515520,94.792100
M,rush_job,1.0,B-CORE,76.694122,0.000279,76.694122
M,rush_job,1.0,B-CORE-no-bottleneck,76.949574,0.000272,76.949574
M,rush_job,1.0,B-CORE-no-graph,76.694122,0.000331,76.694122
M,rush_job,1.0,DCGA,81.361320,1.012278,81.361320
M,rush_job,1.0,GA,81.236341,1.015535,81.236341
M,rush_job,1.0,LNS,83.638666,1.011456,83.638666
M,rush_job,1.0,MOEA-NSGA2,83.151759,1.013402,83.151759
M,rush_job,1.0,MOR,94.050877,0.000009,94.050877
M,rush_job,1.0,MachineRank,88.418247,0.000084,88.418247
M,rush_job,1.0,SA,88.929477,1.014035,88.929477
M,rush_job,10.0,B-CORE,76.694122,0.000328,76.694122
M,rush_job,10.0,B-CORE-no-bottleneck,76.949574,0.000293,76.949574
M,rush_job,10.0,B-CORE-no-graph,76.694122,0.000339,76.694122
M,rush_job,10.0,DCGA,70.107018,10.011658,70.107018
M,rush_job,10.0,GA,71.402310,10.010914,71.402310
