scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,mixed,5.0,MOR,5,5,98.688375,7.804036,100.122255,86.406080,105.642759
M,mixed,5.0,MachineRank,5,5,88.486920,1.172222,87.874390,87.311774,90.063806
M,mixed,5.0,SA,5,5,85.906452,4.261517,87.347902,81.258350,90.293022
M,rush_job,0.1,B-CORE,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,0.1,B-CORE-no-bottleneck,5,5,76.949574,4.428497,75.504564,73.557488,84.639603
M,rush_job,0.1,B-CORE-no-graph,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,0.1,DCGA,5,5,93.612454,13.595983,97.036920,76.225923,106.688572
M,rush_job,0.1,GA,5,5,99.397980,11.645217,99.541566,82.641634,114.202404
M,rush_job,0.1,LNS,5,5,93.352261,14.916682,96.178406,76.322816,110.464777
M,rush_job,0.1,MOEA-NSGA2,5,5,88.817710,11.976598,93.653301,73.607937,101.122800
M,rush_job,0.1,MOR,5,5,94.050877,7.013328,91.001036,87.525776,102.547344
M,rush_job,0.1,MachineRank,5,5,88.418247,9.091640,92.247902,72.161943,92.870691
M,rush_job,0.1,SA,5,5,98.912527,19.418977,101.151243,76.632452,125.430047
M,rush_job,0.5,B-CORE,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,0.5,B-CORE-no-bottleneck,5,5,76.949574,4.428497,75.504564,73.557488,84.639603
M,rush_job,0.5,B-CORE-no-graph,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,0.5,DCGA,5,5,85.083261,15.673159,91.660816,67.569747,102.805614
M,rush_job,0.5,GA,5,5,87.390904,6.853182,86.004167,78.678653,95.299562
M,rush_job,0.5,LNS,5,5,86.188499,11.020800,89.540202,73.864408,100.503801
M,rush_job,0.5,MOEA-NSGA2,5,5,86.648270,11.045488,84.887572,72.575146,99.908106
M,rush_job,0.5,MOR,5,5,94.050877,7.013328,91.001036,87.525776,102.547344
M,rush_job,0.5,MachineRank,5,5,88.418247,9.091640,92.247902,72.161943,92.870691
M,rush_job,0.5,SA,5,5,94.792100,22.016211,90.377190,73.638980,129.822951
M,rush_job,1.0,B-CORE,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,1.0,B-CORE-no-bottleneck,5,5,76.949574,4.428497,75.504564,73.557488,84.639603
M,rush_job,1.0,B-CORE-no-graph,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
